"";"pos_dist_m";"gps_lon";"gps_lat";"velocity_kmh";"acc_lat"
"1";-203,7;11,6498017;48,0818222;50,724;-0,11
"2";-202,3;11,6497958;48,0818342;50,562;0,01
"3";-200,8;11,6497898;48,081846;50,386;0,13
"4";-199,4;11,6497838;48,0818579;50,447;0,01
"5";-198;11,6497778;48,0818699;50,494;-0,04
"6";-196,6;11,6497718;48,0818817;50,396;0,07
"7";-195,2;11,6497658;48,0818936;50,512;-0,07
"8";-193,8;11,6497597;48,0819055;50,285;0,04
"9";-192,4;11,6497538;48,0819174;50,382;-0,04
"10";-191;11,6497477;48,0819294;50,519;0,03
"11";-189,6;11,6497416;48,0819414;50,558;0,02
"12";-188,2;11,6497354;48,0819533;50,72;0,02
"13";-186,8;11,6497294;48,0819653;50,695;-0,05
"14";-185,4;11,6497234;48,0819773;50,562;0
"15";-184;11,6497175;48,0819892;50,533;-0,08
"16";-182,6;11,6497115;48,0820012;50,533;0,04
"17";-181,2;11,6497057;48,0820133;50,735;-0,14
"18";-179,8;11,6496998;48,0820252;50,569;0,04
"19";-178,4;11,6496937;48,0820371;50,44;0,14
"20";-177;11,6496879;48,0820493;50,684;-0,13
"21";-175,6;11,649682;48,0820612;50,324;0,02
"22";-174,2;11,6496761;48,082073;50,252;0,04
"23";-172,8;11,6496702;48,0820851;50,587;-0,04
"24";-171,4;11,6496643;48,082097;50,324;-0,01
"25";-170;11,6496585;48,0821089;50,256;-0,02
"26";-168,6;11,6496525;48,082121;50,659;0,08
"27";-167,2;11,6496468;48,0821329;50,285;-0,1
"28";-165,8;11,649641;48,0821449;50,544;-0,01
"29";-164,4;11,6496349;48,0821565;49,709;0,23
"30";-163;11,6496292;48,0821685;50,263;-0,22
"31";-161,6;11,6496235;48,0821804;50,303;-0,05
"32";-160,2;11,649618;48,0821924;50,414;-0,1
"33";-158,8;11,649612;48,0822041;49,907;0,2
"34";-157,4;11,6496065;48,0822161;50,184;-0,17
"35";-156;11,6496008;48,082228;50,008;0,05
"36";-154,6;11,6495951;48,0822398;49,939;0,02
"37";-153,3;11,6495894;48,0822517;49,968;-0,05
"38";-151,9;11,6495837;48,0822636;49,946;0,03
"39";-150,5;11,6495781;48,0822754;49,705;-0,04
"40";-149,1;11,6495724;48,0822873;49,817;0,02
"41";-147,7;11,6495668;48,0822991;49,73;-0,01
"42";-146,3;11,6495611;48,0823109;49,684;0,01
"43";-145;11,6495555;48,0823227;49,691;0,02
"44";-143,6;11,6495499;48,0823344;49,554;-0,03
"45";-142,2;11,6495442;48,0823462;49,385;0,04
"46";-140,8;11,6495385;48,082358;49,601;0,03
"47";-139,5;11,6495329;48,0823696;49,172;-0,01
"48";-138,1;11,6495271;48,0823813;49,374;0,05
"49";-136,7;11,6495214;48,082393;49,262;0,01
"50";-135,4;11,6495157;48,0824047;49,23;-0,05
"51";-134;11,6495099;48,0824164;49,259;0,04
"52";-132,6;11,6495041;48,082428;48,996;0,04
"53";-131,3;11,6494984;48,0824397;48,985;-0,05
"54";-129,9;11,6494926;48,0824514;49,187;-0,01
"55";-128,5;11,6494868;48,082463;48,892;0,06
"56";-127,2;11,6494808;48,0824744;48,625;0,16
"57";-125,8;11,649475;48,0824861;48,895;-0,09
"58";-124,5;11,6494692;48,0824976;48,762;-0,04
"59";-123,1;11,6494639;48,0825094;49,01;-0,28
"60";-121,8;11,6494579;48,0825208;48,571;0,33
"61";-120,4;11,6494521;48,0825323;48,614;-0,05
"62";-119,1;11,6494463;48,0825438;48,614;0,02
"63";-117,7;11,6494401;48,0825551;48,236;0,22
"64";-116,4;11,6494346;48,0825667;48,506;-0,33
"65";-115;11,6494289;48,0825783;48,715;0,03
"66";-113,7;11,649423;48,0825896;48,355;0,08
"67";-112,3;11,6494175;48,0826012;48,474;-0,13
"68";-111;11,6494116;48,0826126;48,42;0,15
"69";-109,6;11,6494059;48,0826239;48,049;0
"70";-108,3;11,6494001;48,0826354;48,269;0,03
"71";-107;11,6493944;48,0826467;47,984;-0,02
"72";-105,6;11,6493885;48,0826581;48,132;0,06
"73";-104,3;11,6493827;48,0826694;48,035;0,02
"74";-103;11,649377;48,0826806;47,786;0
"75";-101,6;11,6493711;48,082692;47,851;0,02
"76";-100,3;11,6493654;48,0827033;47,822;-0,04
"77";-99;11,6493596;48,0827146;47,876;0,03
"78";-97,7;11,6493539;48,0827258;47,61;-0,08
