"";"element_no";"way_id";"node_no";"ref_id";"gps_lon";"gps_lat"
"1";1;3302175;1;"2041294";11,6500531;48,0812572
"2";1;3302175;2;"1653269245";11,6501228;48,081119
"3";1;3302175;3;"3817592201";11,650134;48,0810968
"4";1;3302175;4;"318863681";11,6501421;48,0810807
"5";1;3302175;5;"8946265620";11,6505183;48,0803351
"6";1;3302175;6;"2536407879";11,6505601;48,0802522
"7";2;258949951;1;"5053679668";11,6473592;48,0848236
"8";2;258949951;2;"3412567490";11,6482071;48,0840797
"9";2;258949951;3;"1663079240";11,6484924;48,0838294
"10";2;258949951;4;"15355036";11,64859;48,0837434
"11";2;258949951;5;"15355038";11,6487605;48,0835953
"12";2;258949951;6;"2041295";11,6488616;48,0834978
"13";2;258949951;7;"1864501963";11,6489445;48,083406
"14";2;258949951;8;"533886482";11,649034;48,0832827
"15";2;258949951;9;"1653269273";11,6490903;48,0831938
"16";2;258949951;10;"1653269267";11,6491446;48,0830971
"17";2;258949951;11;"530775969";11,649332;48,0827271
"18";2;258949951;12;"1653269263";11,6495814;48,0822127
"19";2;258949951;13;"318863680";11,6498918;48,0815769
"20";2;258949951;14;"3817592203";11,6499236;48,0815139
"21";2;258949951;15;"2041294";11,6500531;48,0812572
"22";3;103335175;1;"15355038";11,6487605;48,0835953
"23";3;103335175;2;"15355061";11,6488325;48,0836096
"24";3;103335175;3;"8762538586";11,6489159;48,0836185
"25";3;103335175;4;"1663079239";11,6490095;48,0836086
"26";3;103335175;5;"8762538585";11,6500736;48,0832827
"27";3;103335175;6;"8762538583";11,6505859;48,0831208
"28";3;103335175;7;"530782744";11,6510979;48,0829644
